Location,State,County,Diversity-Index
"Rio Grande County, CO", CO,Rio Grande County,0.521253
"Washington County, TX", TX,Washington County,0.521163
"Okeechobee County, FL", FL,Okeechobee County,0.521031
"Lyman County, SD", SD,Lyman County,0.521018
"Hardeman County, TN", TN,Hardeman County,0.520993
"West Feliciana Parish, LA", LA,West Feliciana Parish,0.520745
"Pickens County, AL", AL,Pickens County,0.520742
"Concho County, TX", TX,Concho County,0.520625
"Twiggs County, GA", GA,Twiggs County,0.520622
"Alexander County, IL", IL,Alexander County,0.520524
"Meriwether County, GA", GA,Meriwether County,0.520496
"Tensas Parish, LA", LA,Tensas Parish,0.520317
"Roosevelt County, MT", MT,Roosevelt County,0.520283
"Berkeley County, SC", SC,Berkeley County,0.520264
"West Baton Rouge Parish, LA", LA,West Baton Rouge Parish,0.520215
"Providence County, RI", RI,Providence County,0.519916
"Stafford County, VA", VA,Stafford County,0.519308
"Attala County, MS", MS,Attala County,0.519001
"Montgomery County, TN", TN,Montgomery County,0.518661
"Colfax County, NE", NE,Colfax County,0.518483
"New Haven County, CT", CT,New Haven County,0.51843
"Austin County, TX", TX,Austin County,0.51843
"Brunswick County, VA", VA,Brunswick County,0.518314
"Ellis County, TX", TX,Ellis County,0.518114
"Lunenburg County, VA", VA,Lunenburg County,0.518111
"Montgomery County, MS", MS,Montgomery County,0.518066
"Grant County, KS", KS,Grant County,0.517834
"Lynchburg city, VA", VA,Lynchburg city,0.517655
"Conejos County, CO", CO,Conejos County,0.517585
"Newton County, MS", MS,Newton County,0.517325
"Ouachita Parish, LA", LA,Ouachita Parish,0.517071
"Chambers County, AL", AL,Chambers County,0.517068
"Milam County, TX", TX,Milam County,0.517065
"Winkler County, TX", TX,Winkler County,0.51668
"Laurens County, GA", GA,Laurens County,0.516501
"Franklin County, NC", NC,Franklin County,0.516495
"Mecklenburg County, VA", VA,Mecklenburg County,0.516253
"Baltimore city, MD", MD,Baltimore city,0.516013
"Westmoreland County, VA", VA,Westmoreland County,0.5155
"Jasper County, MS", MS,Jasper County,0.514829
"Grenada County, MS", MS,Grenada County,0.514755
"Hansford County, TX", TX,Hansford County,0.514744
"Sussex County, VA", VA,Sussex County,0.514711
"De Baca County, NM", NM,De Baca County,0.514677
"Delaware County, OK", OK,Delaware County,0.514641
"Charleston County, SC", SC,Charleston County,0.514537
"Columbia County, AR", AR,Columbia County,0.514501
"Nueces County, TX", TX,Nueces County,0.514446
"Kinney County, TX", TX,Kinney County,0.514351
"Rapides Parish, LA", LA,Rapides Parish,0.514326
"Lassen County, CA", CA,Lassen County,0.514288
"Jones County, NC", NC,Jones County,0.514233
"Roberts County, SD", SD,Roberts County,0.514087
"Chesterfield County, SC", SC,Chesterfield County,0.513794
"Chester County, SC", SC,Chester County,0.513695
